Time	A470	A350	A340	A330	A320	A310	A300	
0.187263	0.0134058	0.151265	0.223095	0.331097	0.511051	0.813843	1.4786
0.188975	0.0134175	0.151319	0.222818	0.330603	0.510255	0.812391	1.47676
0.1907	0.0134288	0.151116	0.222579	0.330127	0.509329	0.810871	1.47492
0.192437	0.013366	0.150919	0.222409	0.3297	0.50843	0.809464	1.47302
0.194188	0.0133741	0.150974	0.222102	0.329141	0.507559	0.807883	1.47117
0.19595	0.013356	0.15072	0.222035	0.328736	0.506596	0.806411	1.46907
0.197725	0.0134014	0.150668	0.221694	0.328252	0.505744	0.804934	1.46719
0.199512	0.0133393	0.150509	0.221546	0.327789	0.504914	0.803519	1.46547
0.201312	0.0133397	0.150401	0.221341	0.327295	0.503981	0.801971	1.46346
0.203112	0.0133088	0.150305	0.221042	0.326828	0.503214	0.800618	1.46152
0.204938	0.0133218	0.15028	0.220887	0.326398	0.502172	0.799085	1.45968
0.206775	0.0133139	0.150207	0.220541	0.325954	0.501405	0.797672	1.45808
0.208625	0.0133134	0.150006	0.22044	0.325526	0.500622	0.796299	1.45616
0.210487	0.0133503	0.149989	0.220286	0.325121	0.49979	0.794942	1.45429
0.212362	0.013264	0.149787	0.220046	0.324623	0.498867	0.793522	1.45277
0.21425	0.013367	0.149739	0.219838	0.324215	0.497992	0.792351	1.45091
0.21615	0.0133004	0.149566	0.219608	0.323711	0.497195	0.790714	1.44912
0.218063	0.0133201	0.149442	0.219445	0.323346	0.496305	0.789381	1.44737
0.22	0.0133283	0.149439	0.21917	0.322886	0.495492	0.787891	1.44572
0.221938	0.0132648	0.149333	0.21899	0.322536	0.49464	0.786575	1.44392
0.223888	0.0133777	0.149244	0.218725	0.322071	0.493792	0.785205	1.44209
0.225863	0.0132643	0.149076	0.218519	0.321675	0.49317	0.78388	1.44047
0.227838	0.0132689	0.149059	0.218358	0.321296	0.49238	0.78251	1.43872
0.229838	0.013292	0.148865	0.218158	0.320902	0.491609	0.781054	1.43712
0.23185	0.013331	0.148803	0.217986	0.320535	0.490729	0.77995	1.43504
0.233863	0.0132347	0.148618	0.217781	0.32	0.489981	0.778505	1.43364
0.2359	0.013284	0.148609	0.217677	0.319607	0.489159	0.777249	1.43199
0.23795	0.0132943	0.148497	0.217419	0.319269	0.488358	0.775893	1.43028
0.240025	0.0132517	0.148388	0.217229	0.31887	0.48758	0.774638	1.42872
0.2421	0.0132587	0.148285	0.216959	0.318442	0.486915	0.773444	1.42726
0.2442	0.0132817	0.148207	0.216924	0.318086	0.486111	0.772152	1.42536
0.2463	0.0132502	0.148106	0.216689	0.317732	0.485491	0.77094	1.42396
0.248425	0.0132629	0.148015	0.21651	0.317313	0.484669	0.769697	1.42245
0.250562	0.0132425	0.147911	0.216347	0.316853	0.48399	0.768578	1.42079
0.252712	0.013272	0.147812	0.216177	0.316605	0.483224	0.767378	1.41909
0.254887	0.0132763	0.147753	0.215997	0.31624	0.482553	0.766091	1.41777
0.257062	0.013336	0.147625	0.215801	0.315822	0.481753	0.764945	1.41598
0.259263	0.0132792	0.147546	0.215552	0.315399	0.481109	0.763758	1.41457
0.261475	0.0132843	0.147522	0.215444	0.315098	0.48049	0.76251	1.41303
0.263712	0.0132852	0.14733	0.215214	0.314743	0.479765	0.761417	1.41159
0.26595	0.01328	0.147233	0.215055	0.314427	0.4791	0.760248	1.41007
0.268212	0.0132079	0.147184	0.214944	0.31409	0.478458	0.759018	1.40832
0.270487	0.0133109	0.147129	0.214817	0.31372	0.477706	0.757904	1.40719
0.272775	0.0132485	0.146997	0.214592	0.31344	0.477053	0.756761	1.40555
0.275088	0.0132787	0.146967	0.214411	0.313069	0.476441	0.755662	1.40401
0.2774	0.0132797	0.146885	0.214222	0.31276	0.475797	0.754431	1.40271
0.279738	0.013362	0.146838	0.214149	0.312402	0.475144	0.753437	1.4015
0.2821	0.0132714	0.146677	0.213975	0.312089	0.474515	0.752375	1.3998
0.284475	0.0132352	0.146598	0.213799	0.31172	0.473884	0.751241	1.39858
0.286862	0.0133249	0.146585	0.213711	0.311468	0.473113	0.750123	1.39714
0.289263	0.0133156	0.146469	0.213473	0.311153	0.472615	0.749053	1.39581
0.291687	0.0132847	0.146393	0.213376	0.310848	0.471965	0.748059	1.3945
0.294125	0.0132963	0.14636	0.213194	0.310509	0.471375	0.747055	1.39299
0.296575	0.0133749	0.146275	0.212993	0.310213	0.47075	0.746012	1.39184
0.29905	0.0133363	0.146112	0.21285	0.309876	0.470206	0.745007	1.39045
0.301538	0.0132975	0.146075	0.212723	0.309544	0.46963	0.744035	1.38904
0.304038	0.0133339	0.146015	0.212634	0.309317	0.468975	0.743101	1.38782
0.306563	0.0133641	0.145924	0.212422	0.309048	0.468496	0.742066	1.38649
0.3091	0.0133145	0.145864	0.212419	0.308785	0.467911	0.741192	1.38537
0.311662	0.0133523	0.145807	0.212213	0.308486	0.467392	0.740202	1.38402
0.314238	0.0133991	0.145758	0.212032	0.308176	0.466836	0.739162	1.38276
0.316837	0.0133736	0.145607	0.21196	0.307927	0.466338	0.738336	1.38126
0.31945	0.0133629	0.14558	0.211845	0.307623	0.465781	0.737311	1.38033
0.322075	0.0134937	0.145617	0.211708	0.307411	0.465226	0.736396	1.37908
0.324725	0.0133917	0.145487	0.211547	0.307103	0.464744	0.735464	1.37778
0.327388	0.0134333	0.145472	0.211476	0.306946	0.464161	0.734586	1.37652
0.330075	0.0134807	0.145391	0.211263	0.306677	0.46357	0.733632	1.37531
0.332788	0.0134282	0.145281	0.211104	0.306343	0.463121	0.732701	1.37424
0.3355	0.0134519	0.145258	0.211055	0.306043	0.462644	0.73187	1.37305
0.33825	0.0134775	0.145178	0.210966	0.30586	0.462045	0.730851	1.372
0.341013	0.0135031	0.145122	0.21081	0.305586	0.461575	0.730024	1.37063
0.343787	0.0135086	0.14515	0.210734	0.305375	0.461136	0.729182	1.36944
0.346588	0.0134879	0.145026	0.210578	0.305214	0.460578	0.728344	1.36838
0.3494	0.0135078	0.144967	0.21042	0.304838	0.460162	0.727586	1.36731
0.352237	0.0134636	0.144927	0.210402	0.304602	0.459625	0.726791	1.3662
0.3551	0.0135314	0.144854	0.210201	0.304432	0.459124	0.725816	1.36525
0.357975	0.0135464	0.144839	0.21013	0.304168	0.458755	0.725078	1.36429
0.360875	0.0135691	0.144835	0.210092	0.303994	0.458303	0.724287	1.36333
0.363788	0.0135552	0.144702	0.209981	0.303858	0.457839	0.723449	1.36206
0.366725	0.0135579	0.144678	0.209807	0.303565	0.457425	0.722715	1.36081
0.369687	0.0136015	0.144697	0.209782	0.303318	0.456896	0.721933	1.36002
0.372663	0.0136505	0.144583	0.209631	0.303165	0.456556	0.721128	1.3589
0.375663	0.0135925	0.14452	0.209524	0.30295	0.456139	0.720399	1.35779
0.378688	0.0136662	0.144487	0.209514	0.302763	0.455632	0.719622	1.35686
0.381725	0.0136726	0.1444	0.209377	0.302582	0.455319	0.718816	1.3557
0.384787	0.0136104	0.14436	0.209276	0.302352	0.454775	0.7181	1.35468
0.387875	0.0136823	0.144367	0.209179	0.302127	0.454344	0.717394	1.35369
0.390975	0.0137111	0.144278	0.209094	0.301969	0.454022	0.716663	1.35269
0.3941	0.0137461	0.144274	0.209017	0.301791	0.453579	0.715921	1.35159
0.39725	0.0137411	0.144146	0.208938	0.301604	0.453281	0.715181	1.35055
0.400412	0.0136719	0.144113	0.20885	0.301309	0.452852	0.714487	1.34963
0.403612	0.0137913	0.144144	0.208751	0.301132	0.452363	0.713747	1.34863
0.406825	0.0137624	0.144095	0.208644	0.300954	0.452045	0.713013	1.34784
0.410062	0.013721	0.14406	0.208565	0.300842	0.451662	0.712414	1.34669
0.413312	0.0138665	0.143993	0.208505	0.300612	0.451313	0.711709	1.34581
0.4166	0.0137974	0.143919	0.208428	0.300421	0.451001	0.711019	1.34491
0.4199	0.0137909	0.143915	0.20834	0.300249	0.450537	0.710277	1.34385
0.423225	0.0138462	0.143859	0.208239	0.300067	0.450239	0.7096	1.34274
0.426575	0.0138235	0.143834	0.208177	0.299966	0.449865	0.708888	1.3417
0.42995	0.0139392	0.143845	0.208054	0.29978	0.44952	0.708313	1.34091
0.43335	0.013877	0.143725	0.208	0.299594	0.449164	0.70766	1.34021
0.436763	0.013838	0.143711	0.207899	0.299475	0.448728	0.706973	1.33912
0.440212	0.0138585	0.143663	0.207819	0.299207	0.448462	0.70628	1.33815
0.443675	0.01386	0.143668	0.207848	0.299081	0.448121	0.705586	1.33713
0.447163	0.0139787	0.143667	0.207707	0.298956	0.447788	0.705007	1.33628
0.450687	0.0139241	0.143594	0.207725	0.298737	0.44742	0.704407	1.33544
0.454225	0.0139503	0.143534	0.207641	0.298662	0.447039	0.703678	1.33454
0.457788	0.0139484	0.143482	0.207501	0.298476	0.446742	0.703016	1.33354
0.461375	0.0139437	0.143482	0.207488	0.298344	0.446431	0.702318	1.33273
0.464987	0.0140705	0.143414	0.207344	0.298188	0.446145	0.701825	1.33178
0.468625	0.0140225	0.143372	0.207305	0.298102	0.445817	0.701279	1.33078
0.472288	0.0140667	0.143378	0.207217	0.297943	0.445441	0.700574	1.33001
0.475987	0.0139956	0.14336	0.20719	0.297798	0.445164	0.700027	1.32905
0.4797	0.0141002	0.143277	0.207138	0.297756	0.444873	0.699391	1.32814
0.483438	0.0140678	0.143259	0.207064	0.297537	0.444616	0.698918	1.32729
0.487213	0.0141215	0.143242	0.206945	0.297429	0.444199	0.69823	1.32645
0.491	0.0141181	0.143228	0.206874	0.29726	0.443937	0.697647	1.32566
0.494825	0.0141141	0.143232	0.206848	0.297154	0.443567	0.696952	1.32467
0.498663	0.0141433	0.143161	0.206756	0.297011	0.443313	0.696361	1.32365
0.502537	0.0141741	0.143171	0.206762	0.296826	0.442997	0.695837	1.32278
0.506437	0.014205	0.143139	0.206687	0.2967	0.44278	0.695192	1.32202
0.510363	0.0141877	0.143156	0.206654	0.296618	0.442429	0.694625	1.32089
0.514313	0.0142237	0.143097	0.206562	0.29649	0.442159	0.693977	1.32033
0.5183	0.0142368	0.143091	0.2065	0.296372	0.441816	0.69343	1.31936
0.5223	0.0142612	0.143036	0.206474	0.296215	0.441508	0.692829	1.3184
0.526338	0.0143196	0.143055	0.206392	0.296117	0.441203	0.692293	1.31751
0.530412	0.0143081	0.143009	0.206336	0.296048	0.440932	0.691669	1.31661
0.5345	0.0142709	0.143007	0.206303	0.295935	0.440645	0.691132	1.31575
0.538625	0.0143708	0.142984	0.206214	0.295708	0.440316	0.690483	1.31495
0.542775	0.0143157	0.142913	0.206233	0.295605	0.440121	0.689962	1.31403
0.54695	0.0144055	0.142906	0.206161	0.295508	0.439852	0.689353	1.31315
0.55115	0.0143826	0.142876	0.206138	0.295443	0.439529	0.688786	1.3123
0.555387	0.0144162	0.142848	0.206028	0.295259	0.439176	0.688247	1.31145
