Time	S1	S2	S3	
2.07379	0.00873144	0.0944549	0.293043	
2.08857	0.00875331	0.09448	0.292852	
2.10348	0.00877595	0.0944612	0.292676	
2.11846	0.00876324	0.0944648	0.292506	
2.13356	0.00880149	0.094466	0.292314	
2.14878	0.00881877	0.0944498	0.292108	
2.16409	0.00884775	0.0944492	0.291901	
2.1795	0.00885462	0.0944102	0.291702	
2.19502	0.00884204	0.0944321	0.291527	
2.21065	0.00883858	0.0944388	0.291307	
2.2264	0.00883127	0.094462	0.291133	
2.24224	0.00888529	0.0944504	0.290954	
2.2582	0.00889272	0.0944712	0.290783	
2.27428	0.00891074	0.0944599	0.290604	
2.29045	0.00894292	0.0944841	0.290402	
2.30675	0.00899971	0.0944603	0.2902	
2.32315	0.00898296	0.0944353	0.290043	
2.33966	0.00901684	0.094435	0.289834	
2.3563	0.00900515	0.0944342	0.289612	
2.37305	0.00902561	0.0944401	0.289458	
2.38991	0.00903449	0.0944697	0.289274	
2.4069	0.0090374	0.0944791	0.289082	
2.424	0.00904025	0.0944531	0.288899	
2.44121	0.00906853	0.0944716	0.288735	
2.45855	0.00907987	0.0945003	0.288505	
2.47601	0.00912873	0.0944919	0.288362	
2.49359	0.00913367	0.0944653	0.288176	
2.51129	0.00915447	0.0944607	0.287937	
2.52911	0.0091508	0.0944552	0.28775	
2.54706	0.00917906	0.0944594	0.287573	
2.56514	0.00914728	0.0944699	0.287372	
2.58332	0.00915392	0.09447	0.287198	
2.60165	0.009155	0.0944856	0.287035	
2.6201	0.00917629	0.0945108	0.286837	
2.63867	0.00919368	0.0945287	0.286672	
2.65739	0.00920286	0.0945094	0.286475	
2.67622	0.00923073	0.0945083	0.286266	
2.69519	0.00923358	0.0944833	0.286102	
2.71429	0.00923149	0.0944871	0.285876	
2.73351	0.00923747	0.0944982	0.285673	
2.75288	0.00922869	0.0945028	0.285517	
2.77238	0.00923681	0.0945372	0.285317	
2.79201	0.00928092	0.0945291	0.285153	
2.81177	0.00931091	0.0945085	0.284974	
2.83169	0.0093272	0.0945531	0.284785	
2.85173	0.00937005	0.0945162	0.284609	
2.87191	0.00938896	0.0945001	0.284425	
2.89224	0.00937084	0.0944735	0.284227	
2.9127	0.00937256	0.0944882	0.28402	
2.93331	0.00936391	0.0945135	0.283895	
2.95405	0.00940565	0.0945109	0.283719	
2.97495	0.0094147	0.0945177	0.283564	
2.99599	0.00941943	0.0945366	0.283373	
3.01716	0.00944192	0.0945608	0.283202	
3.0385	0.00946938	0.0945112	0.283019	
3.05997	0.00944287	0.094522	0.282784	
3.0816	0.00946575	0.0945381	0.28256	
3.10337	0.00943287	0.0945378	0.282416	
3.12531	0.00945268	0.0945738	0.282241	
3.14739	0.00946134	0.0945811	0.282069	
3.16961	0.0094734	0.0946048	0.281903	
3.192	0.00952534	0.094586	0.281736	
3.21455	0.00953748	0.0945823	0.281535	
3.23725	0.00955871	0.0945747	0.281345	
3.2601	0.0095608	0.0945681	0.281168	
3.28311	0.00956442	0.0946109	0.281001	
3.30629	0.00958477	0.0946029	0.28083	
3.32962	0.00961034	0.0946581	0.280677	
3.35311	0.0096634	0.0946447	0.280527	
3.37678	0.00969559	0.0946579	0.280363	
3.4006	0.0097138	0.0946507	0.28014	
3.42459	0.00973911	0.0946133	0.279997	
3.44874	0.00971814	0.0946421	0.279763	
